X,Y,fid,ObjectID,Rodzaj_inw,Możliwoś,Powierzchn,Pojemnoś_,Subiektywn,Rodzaj_obi,Przeznacze,Województ,Powiat,Adres,x,y,ObjectId2,Gmina,Miejscowosc
2125833.99104396,6586863.74647691,22782,144142,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,62,82,5,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Św. Augustyna 32, 42-226, Częstochowa, Śląskie, POL",19.0966916565559,50.8049491902693,164008,,
2128672.40258478,6590296.06411182,22788,113263,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,88,100,5,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Księżycowa 10, 42-202, Częstochowa, Śląskie, POL",19.1221895412533,50.8244304441252,164019,,
2125816.85142587,6586266.40816168,22791,144301,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,57,80,5,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Loretańska 10/12, 42-226, Częstochowa, Śląskie, POL",19.096537688747,50.8015579689388,164023,,
2128739.2451679,6590563.67365585,22794,113431,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,122,133,5,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Kiedrzyńska 67, 42-202, Częstochowa, Śląskie, POL",19.1227899983938,50.8259490091268,164027,,
2129328.5599711,6588688.53584854,22795,1114,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,171,114,7,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,Częstochowa ul. Warszawska 27/31,19.1280839033425,50.8153073975005,164029,,
2125763.88224156,6586258.15463804,22798,144396,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,57,80,5,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Loretańska 14/16, 42-226, Częstochowa, Śląskie, POL",19.0960618584684,50.8015111101412,164032,,
2128350.42707379,6590480.54997194,22800,113644,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,118,143,5,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Gwiezdna 15, 42-202, Częstochowa, Śląskie, POL",19.119297186027,50.8254773245222,164034,,
2132690.41014963,6592313.48432924,22801,1312,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,100,67,2,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,Częstochowa ul. Hubermana 7,19.1582839173254,50.8358771882093,164037,,
2127274.36910024,6585920.40302687,22805,144663,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,72,92,5,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Seweryna Goszczyńskiego 7, 42-217, Częstochowa, Śląskie, POL",19.1096307927846,50.7995935089139,164042,,
2128199.23833482,6590289.12056266,22807,113873,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,118,143,5,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Gwiezdna 9, 42-202, Częstochowa, Śląskie, POL",19.1179390344769,50.8243910419181,164044,,
2128807.26354568,6590364.53099536,22808,2188,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,116,114,5,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Kiedrzyńska 63, 42-202, Częstochowa, Śląskie, POL",19.1234010178774,50.8248189679044,164047,,
2126706.13426076,6586750.17659183,22903,145939,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,82,94,5,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Gen. Kazimierza Pułaskiego 59/65, 42-217, Częstochowa, Śląskie, POL",19.1045262523718,50.8043044479389,164143,,
2128664.42931363,6590080.29945202,22906,2235,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,176,100,5,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Kosmiczna 3a, 42-202, Częstochowa, Śląskie, POL",19.1221179161399,50.8232060397895,164148,,
2131157.95312008,6583045.06128329,22908,166997,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,69,79,5,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"aleja Wojska Polskiego 114, 42-207, Częstochowa, Śląskie, POL",19.1445176216064,50.7832654293768,164151,,
2127725.6578332,6591162.21763373,22911,2900,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,250,118,6,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,"Wojewódzki Szpital Zespolony im. prof. dr. Witolda Orłowskiego w Częstochowie, Polskiego Czerwonego Krzyża 7, 42-218 Częstochowa, Polska",19.1136847884483,50.8293453009018,164154,,
2128854.76612356,6590271.12316975,22913,167371,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,93,133,5,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Kiedrzyńska 61, 42-202, Częstochowa, Śląskie, POL",19.1238277407948,50.8242889128684,164159,,
2127907.65801981,6588152.19300732,22914,167630,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,93,134,5,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,Częstochowa aleja NMP 36/38,19.1153197239417,50.8122631473139,164160,,
2128228.9931588,6590208.35563395,22916,114002,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,118,143,5,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Gwiezdna 7, 42-202, Częstochowa, Śląskie, POL",19.1182063266085,50.8239327268208,164162,,
2127765.3567602,6587632.78564119,22919,121230,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,90,86,6,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Śląska 15a, 42-217, Częstochowa, Śląskie, POL",19.1140414099771,50.8093148327577,164165,,
2129645.15968092,6588305.63317484,22922,3277,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,76,57,4,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,Częstochowa Nadrzeczna 35/41,19.1309279669253,50.8131340848756,164168,,
2132221.13348623,6583912.16242332,22923,226898,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,60,40,1,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,Częstochowa ul. Rejtana Stacja PKP Raków,19.1540683333333,50.78819,164172,,
2127496.55689719,6587459.94663917,22925,121355,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,88,60,6,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Mikołaja Kopernika 33, 42-217, Częstochowa, Śląskie, POL",19.111626739724,50.8083337046255,164175,,
2127345.47536154,6587419.56256964,22930,121488,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,55,67,6,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Mikołaja Kopernika 43, 42-217, Częstochowa, Śląskie, POL",19.1102695511978,50.8081044597239,164183,,
2129737.09498852,6588318.76056397,22934,3493,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,52,48,5,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,Częstochowa ul. Nadrzeczna 48a,19.131753835845,50.8132085961379,164188,,
2126958.69299828,6587214.58113563,22937,121669,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,55,60,6,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Zygmunta Glogera 17, 42-217, Częstochowa, Woj. Śląskie, POL",19.1067950261124,50.8069408412539,164193,,
2129688.11818657,6588800.62023666,22940,3768,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,52,48,3,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Jaskrowska 8, 42-202, Częstochowa, Śląskie, POL",19.1313138697474,50.8159435567807,164197,,
2126891.26645472,6587299.26560207,22944,121817,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,69,88,6,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Zygmunta Glogera 12/14, 42-217, Częstochowa, Śląskie, POL",19.106189323166,50.8074215732283,164203,,
2129642.37913473,6588625.16667818,22947,4012,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,68,61,4,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,Częstochowa ul. Nadrzeczna 59/61,19.1309029888539,50.8149477281811,164207,,
2131851.81944295,6584268.90681608,22948,227084,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,150,100,2,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,Częstochowa Nastaenia CTB PKP Rejtana,19.1507507288361,50.7902159255658,164209,,
2134049.39896472,6583658.57572156,22954,227600,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,300,200,2,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,"ulica Kucelińska 22, 42-202, Częstochowa, Śląskie, POL",19.1704919215609,50.7867498461015,164215,,
2133259.07258974,6583165.31547614,22955,227613,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,450,300,2,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,"ul. Trochimowskiego 27, 42-202, Częstochowa, Śląskie, POL",19.16339229894,50.7839484259748,164216,,
2134873.66756534,6584489.30269011,22956,227650,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,250,167,2,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,"ul.  Koksowa 3, 42-202, Częstochowa, Śląskie, POL",19.1778964523824,50.791467493894,164217,,
2134382.54636564,6584508.39288165,22959,227685,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,0,0,2,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,"ulica Brzegowa 41/47, 42-202, Częstochowa, Śląskie, POL",19.173484635582,50.7915759003315,164220,,
2136705.13448038,6582128.94156699,22960,227744,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,0,0,1,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,"ulica Korfantego 37, 42-202, Częstochowa, Śląskie, POL",19.1943487996038,50.7780619015788,164221,,
2136701.85813879,6582617.07395063,22961,227785,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,250,167,3,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,"ulica Wojciecha Korfantego 37A, 42-202, Częstochowa, Śląskie, POL",19.1943193677266,50.7808345484337,164222,,
2136708.52538124,6582746.24312812,22962,227831,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,150,100,3,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,"ulica Wojciecha Korfantego 37A, 42-202, Częstochowa, Śląskie, POL",19.1943792605845,50.7815682163874,164223,,
2136707.33105268,6582805.95955648,22963,227940,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,100,67,3,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,"ulica Wojciecha Korfantego 37A, 42-202, Częstochowa, Śląskie, POL",19.1943685317485,50.7819073958112,164224,,
2135666.66381112,6585861.84128953,22965,228261,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,0,0,1,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,"ulica Wojciecha Odlewników 20  42-202, Częstochowa, Śląskie, POL",19.1850200588608,50.799261013792,164226,,
2132133.7482748,6583500.14900183,22970,229099,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,260,173,4,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,"ulica Łukasińskiego 26 42-202, Częstochowa, Śląskie, POL",19.153283338623,50.785850096366,164231,,
2132125.99378995,6583592.15156195,22971,229149,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,700,467,4,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,"ulica Łukasińskiego 24 42-202, Częstochowa, Śląskie, POL",19.1532136789004,50.7863726067938,164232,,
2131477.40564923,6583836.60201155,22972,229213,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,400,267,4,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Tetmajera 40 42-202, Częstochowa, Śląskie, POL",19.1473873125013,50.7877608866271,164233,,
2132407.16024598,6583965.79988356,22981,230482,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,350,233,2,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Tadeusza Rejtana 6, 42-202, Częstochowa, Śląskie, POL",19.1557394401487,50.7884946088595,164242,,
2132968.52098872,6586933.5594171,22987,230875,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,0,0,1,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Legionów 90/100 42-202, Częstochowa, Śląskie, POL",19.1607822294998,50.8053455176605,164248,,
2128447.70342896,6585751.66444003,22994,232842,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,200,133,6,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Filomatów 18/20, 42-217, Częstochowa, Śląskie, POL",19.1201710343933,50.7986354578883,164255,,
2130460.77859551,6586980.08826748,23005,234947,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,432,288,5,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,"ulica Tkacka 5, 42-202, Częstochowa, Śląskie, POL",19.1382547962952,50.8056096596303,164266,,
2130418.99859428,6586917.20750169,23006,235056,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,400,267,5,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,"ulica Tkacka 3, 42-202, Częstochowa, Śląskie, POL",19.1378794801585,50.8052526882952,164267,,
2130440.43863999,6587601.8122929,23008,235154,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,320,213,8,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Wesoła 14, 42-202, Częstochowa, Woj. Śląskie, POL",19.138072079366,50.8091390127109,164269,,
2127582.25284538,6585604.26574808,23016,236200,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,120,80,6,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica 1 Maja 27, 42-217, Częstochowa, Śląskie, POL",19.1123965595245,50.797798552811,164277,,
2136737.85085197,6582906.86185656,23017,236560,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,150,100,4,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,"ul. Korfantego 37, 42-217, Częstochowa, Śląskie, POL",19.1946426957702,50.7824804985752,164278,,
2136732.3417392,6583121.68422304,23018,236561,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,130,87,4,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Korfantego 37 A, 42-217, Częstochowa, Śląskie, POL",19.1945932065682,50.7837006187421,164279,,
2128604.63586,6584828.08258699,23022,237088,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,170,113,6,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Rzeźnicka 10  42-217, Częstochowa, Śląskie, POL",19.1215807824071,50.7933912676012,164283,,
2131360.07067259,6584306.02210874,23026,238050,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,200,133,1,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,"ulica Maurycego Mochnackiego 2/20, 42-207, Częstochowa, Śląskie, POL",19.1463332744725,50.790426695582,164287,,
2130011.15788363,6585468.91553611,23027,238051,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,400,267,2,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Tadeusza Rejtana 7C, 42-202, Częstochowa, Śląskie, POL",19.1342157847198,50.7970300437843,164288,,
2129852.0354654,6585436.34423463,23028,238052,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,300,200,6,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Tadeusza Rejtana 7, 42-202, Częstochowa, Śląskie, POL",19.1327863637164,50.7968451043285,164289,,
2130009.12849419,6590014.11336215,23032,2443,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,115,117,5,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,Częstochowa ul. Warszawska 142,19.1341975544043,50.8228304457325,164293,,
2132107.89556821,6583285.02004443,23038,4630,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,259,203,4,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,"Karola Irzykowskiego 4, 42-207 Częstochowa",19.1530510998083,50.7846282910126,164299,,
2126837.32446946,6587447.79234812,23039,122009,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,58,61,6,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Mikołaja Kopernika 50, 42-217, Częstochowa, Śląskie, POL",19.1057047540679,50.8082647094868,164300,,
2122457.60768512,6589500.64099579,23043,5298,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,181,178,4,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,"Wręczycka 111/115, 42-200 Częstochowa",19.066361088793,50.8199164805285,164308,,
2126926.14277588,6587558.30615526,23045,122125,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,58,67,6,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica gen. Mieczysława Dąbkowskiego, 39/41 42-217, Częstochowa, Woj. Śląskie, POL",19.1065026224895,50.8088920492345,164311,,
2130103.48326652,6583628.85784785,23048,8198,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,168,141,5,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,"aleja Niepodległości 30, 42-202 Częstochowa",19.1350451577455,50.7865810712886,164316,,
2126760.92467947,6587780.94426027,23135,122255,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,52,47,6,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Jerzego Waszyngtona 69/71, 42-217, Częstochowa, Woj. Śląskie, POL",19.1050184430773,50.8101558452173,164404,,
2134922.79651159,6584292.47761171,23138,8199,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,70,59,7,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,"Wojciecha Korfantego 4, 42-202 Częstochowa",19.1783377852155,50.7903497793147,164408,,
2126968.28015379,6587816.61975267,23139,122350,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,60,66,6,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Jerzego Waszyngtona 50/54, 42-217, Częstochowa, Śląskie, POL",19.1068811489956,50.8103583524941,164410,,
2127212.85511002,6587814.61483796,23141,122510,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,44,38,6,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Jerzego Waszyngtona 38/40, 42-217, Częstochowa, Śląskie, POL",19.1090782032086,50.8103469718807,164416,,
2127264.45172204,6587752.4297015,23145,122598,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,45,55,6,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Jerzego Waszyngtona 39, 42-217, Częstochowa, Śląskie, POL",19.1095417034604,50.8099939854144,164423,,
2127529.1640246,6589544.66255397,23146,10343,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,51,47,4,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,Częstochowa ul. Dąbrowskiego 65,19.1119196545333,50.8201663108147,164425,,
2129598.98885511,6584270.16736078,23169,224107,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,100,67,1,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,"aleja Niepodległości 20/22, 42-216, Częstochowa, Śląskie, POL",19.1305132073402,50.7902230839522,164452,,
2129410.54034453,6584499.32123523,23171,224211,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,400,267,1,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,"aleja Niepodległości 14, 42-216, Częstochowa, Śląskie, POL",19.128820345567,50.7915243856953,164454,,
2129855.33419309,6584630.80545587,23174,224528,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,500,333,4,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Szczytowa 28, 42-216, Częstochowa, Woj. Śląskie, POL",19.1328159966914,50.7922710320167,164457,,
2129252.81345157,6583197.36689712,23179,224636,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,0,0,1,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,Częstochowa ul Jagielońska 59/65,19.1274034607804,50.7841304637772,164462,,
2130117.71172971,6583647.47855852,23192,225329,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,168,112,5,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,"aleja Niepodległości 30, 42-216, Częstochowa, Śląskie, POL",19.135172974205,50.7866868227669,164475,,
2130757.94796439,6582967.56376513,23193,225346,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,0,0,1,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,Częstochowa ul Jagielońska 1,19.1409243141556,50.7828252686162,164476,,
2130236.38600056,6582548.56881274,23194,225388,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,1800,1200,1,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Lipowa 45, 42-229, Częstochowa, Śląskie, POL",19.1362390433184,50.7804454414601,164477,,
2128891.80924609,6582730.48724081,23195,225459,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,150,100,1,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,"ulica Marszałka Edwarda Rydza-Śmigłego 26, 42-229, Częstochowa, Śląskie, POL",19.1241605048262,50.7814787251465,164478,,
2128605.29769204,6582675.99112154,23197,225524,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,0,0,1,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,"ulica Marszałka Edwarda Rydza-Śmigłego 32a, 42-229, Częstochowa, Śląskie, POL",19.1215867277454,50.7811691934743,164480,,
2125843.0498356,6579608.32155281,23200,225755,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,400,267,2,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,"ulica Żyzna 13F, 42-202, Częstochowa, Woj. Śląskie, POL",19.0967730330658,50.7637418800294,164483,,
2125851.14052518,6579903.60248693,23202,225907,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,450,300,6,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,częstochowa ul. żyzna 13 Ł,19.0968457129669,50.7654196421378,164485,,
2127263.52782883,6587699.96591192,23218,122814,[2] - Rozpoznanie z urzędnikiem,[2] - inna droga utwardzona,81,77,6,[2] - (U) - ukrycie,[1] - M,ŚLĄSKIE,Częstochowa,"ulica Polskiej Org. Wojskowej 12, 42-217, Częstochowa, Woj. Śląskie, POL",19.1095334039865,50.8096961789329,164501,,
2135787.31720579,6585879.50004975,23219,10610,[2] - Rozpoznanie z urzędnikiem,[1] - droga pożarowa,187,180,7,[2] - (U) - ukrycie,[2] - Z,ŚLĄSKIE,Częstochowa,Częstochowa ul. Odlewników 20,19.1861039067459,50.7993612749265,164503,,
